Model	Date	Time	WxFile	Long	Lat	JdStart	JdEnd	Month	Day	Year	dd	bales	TempIncr	PbwEggt	PbwLrDys	PbwAdDys	PbwL/Bol	FromDiap	ToDiap	PbwCldLx	Tddb10
CotsimGIS	26Jul13	6:38:07-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JH_grid_1704.txt	86.5620	22.3230	353	365	12	31	Avg	2848.5246	1.8426	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	4.9357	
CotsimGIS	26Jul13	6:38:10-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0001.txt	77.8120	35.4360	0	330	11	26	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	8139.4066	
CotsimGIS	26Jul13	6:38:12-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0002.txt	77.1870	35.1240	0	330	11	26	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7233.7240	
CotsimGIS	26Jul13	6:38:12-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0003.txt	77.5000	35.1240	0	330	11	26	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7579.3613	
CotsimGIS	26Jul13	6:38:13-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0004.txt	77.8120	35.1240	0	330	11	26	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7886.5934	
CotsimGIS	26Jul13	6:38:14-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0005.txt	76.8750	34.8120	0	330	11	26	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5895.5013	
CotsimGIS	26Jul13	6:38:15-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0006.txt	77.1870	34.8120	0	330	11	26	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6336.6092	
CotsimGIS	26Jul13	6:38:15-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0007.txt	77.5000	34.8120	0	330	11	26	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6765.4985	
CotsimGIS	26Jul13	6:38:16-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0008.txt	77.8120	34.8120	0	330	11	26	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7637.5582	
CotsimGIS	26Jul13	6:38:17-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0009.txt	78.1250	34.8120	0	330	11	26	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	8013.8347	
CotsimGIS	26Jul13	6:38:18-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0010.txt	74.0620	34.4990	212	365	12	31	Avg	351.8361	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1839.4915	
CotsimGIS	26Jul13	6:38:19-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0011.txt	74.3750	34.4990	0	310	11	6	Avg	129.0820	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2058.0701	
CotsimGIS	26Jul13	6:38:20-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0012.txt	74.6870	34.4990	0	310	11	6	Avg	66.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2578.3917	
CotsimGIS	26Jul13	6:38:21-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0013.txt	75.0000	34.4990	203	310	11	6	Avg	38.2623	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3522.4130	
CotsimGIS	26Jul13	6:38:22-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0014.txt	75.3120	34.4990	0	310	11	6	Avg	2.4590	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4554.2224	
CotsimGIS	26Jul13	6:38:22-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0015.txt	75.9370	34.4990	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5196.7243	
CotsimGIS	26Jul13	6:38:23-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0016.txt	76.2500	34.4990	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5133.9494	
CotsimGIS	26Jul13	6:38:24-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0017.txt	76.5620	34.4990	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5231.7000	
CotsimGIS	26Jul13	6:38:25-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0018.txt	76.8750	34.4990	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5452.8424	
CotsimGIS	26Jul13	6:38:26-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0019.txt	77.1870	34.4990	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5702.1204	
CotsimGIS	26Jul13	6:38:26-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0020.txt	77.5000	34.4990	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5967.9784	
CotsimGIS	26Jul13	6:38:27-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0021.txt	77.8120	34.4990	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6671.6122	
CotsimGIS	26Jul13	6:38:28-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0022.txt	78.1250	34.4990	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7595.4759	
CotsimGIS	26Jul13	6:38:28-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0023.txt	78.4370	34.4990	0	310	11	6	Avg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	8083.6094	
CotsimGIS	26Jul13	6:38:29-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0024.txt	74.0620	34.1870	206	310	11	6	Avg	681.0656	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1159.9986	
CotsimGIS	26Jul13	6:38:31-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0025.txt	74.3750	34.1870	0	310	11	6	Avg	382.3279	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1421.5025	
CotsimGIS	26Jul13	6:38:32-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JK_grid_0026.txt	74.6870	34.1870	0	310	11	6	Avg	231.3770	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1656.0743	
