Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	04mar10	20.48.53	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_71_44.txt	12.4076	32.6844	1	730	12	31	Avg	2657.56341463415	0.0170731707317073	8933.01707317073	10863.3365853659	86.609756097561	41	57.3512195121951	442.307317073171	1119.02682926829	0	5199.33341463415	28018.926097561	10784.1304390244	2671.80048780488	1768.34658536585	2882.11609756098	24.8026829268293
OliveGIS	04mar10	20.50.09	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_71_78.txt	11.9941	42.0728	1	730	12	31	Avg	2267.28292682927	13.3926829268293	5130.1512195122	5832.04634146342	148.756097560976	41	357.558536585366	3063.02926829268	4119.45121951220	0	26251.2990243902	170889.269512195	210398.583146341	44309.0121951219	5529.13926829268	4175.17902439024	70.2565853658537
OliveGIS	04mar10	20.50.23	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_71_79.txt	11.98	42.3515	1	730	12	31	Avg	2147.39756097561	22.0390243902439	4373.21463414634	5020.68536585366	151.658536585366	41	455.212195121951	3059.35365853659	4327.11707317073	0	16823.4626829268	117526.198536585	143899.970243902	20832.1778048780	3234.32414634146	2828.93585365854	61.7207317073171
OliveGIS	04mar10	20.50.34	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_71_80.txt	11.9657	42.6302	1	730	12	31	Avg	1888.09024390244	35.409756097561	2937.94634146341	3745.04146341463	159.536585365854	41	575.121951219512	3287.40243902439	4100.03414634146	0	8335.03146341463	62730.1851219512	62754.8906097561	7943.97780487805	1382.96341463415	1397.97341463415	52.199512195122
OliveGIS	04mar10	20.50.43	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_71_81.txt	11.9512	42.9091	1	730	12	31	Avg	1846.06829268293	34.0609756097561	3420.59512195122	4323.4243902439	163.756097560976	41	611.046341463415	3322.92195121951	3670.68292682927	0	9358.94195121951	74982.4768292683	74612.9237560976	9199.7587804878	1479.68780487805	1569.18048780488	47.3336585365854
OliveGIS	04mar10	20.50.52	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_71_82.txt	11.9367	43.188	1	730	12	31	Avg	1792.76829268293	39.6756097560976	3165.90975609756	4274.04146341463	165.439024390244	41	651.765853658537	3340.29512195122	3440.26097560976	0	8010.47341463415	62831.9304878049	61205.4718536585	7471.40512195122	1205.64170731707	1331.91414634146	45.7665853658537
OliveGIS	04mar10	20.51.01	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_71_83.txt	11.9219	43.4669	1	730	12	31	Avg	1648.01951219512	51.6146341463415	2243.08292682927	3295.81707317073	170.170731707317	41	730.048780487805	3471.75121951220	3440.15365853659	0	4725.54268292683	37812.4682926829	35641.0356585366	4275.23780487805	717.252926829268	825.711707317073	43.7936585365854
OliveGIS	04mar10	20.51.09	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_71_84.txt	11.9071	43.7459	1	730	12	31	Avg	1530.14390243902	61.7658536585366	45.2536585365854	71.6756097560976	175	4	778.743902439024	354.534146341463	411.953658536585	0	159.902195121951	1376.71609756098	1104.48887804878	211.252439024390	20.3541463414634	23.4595121951220	4.20439024390244
OliveGIS	04mar10	20.51.11	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_71_85.txt	11.8921	44.0249	1	730	12	31	Avg	1708.42926829268	54.7536585365854	102.939024390244	137.648780487805	171.6	5	707.190243902439	337.982926829268	510.814634146341	0	351.902926829268	2716.02634146341	2769.56968292683	464.507317073171	55.3063414634146	57.2468292682927	6.64121951219512
OliveGIS	04mar10	20.51.14	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_71_86.txt	11.8769	44.304	1	730	12	31	Avg	2014.74878048780	35.1512195121951	3887.83902439024	4628.75853658537	156.146341463415	41	574.668292682927	3084.52682926829	3470.02926829268	0	13793.2356097561	100244.647073171	119403.132878049	16858.6665853659	2585.67707317073	2256.15707317073	60.899512195122
OliveGIS	04mar10	20.51.24	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_71_87.txt	11.8617	44.5831	1	730	12	31	Avg	2204.91951219512	26.1585365853659	5133.92682926829	5654.1243902439	150.146341463415	41	511.368292682927	2813.37317073171	3117.50487804878	0	22283.9997560976	154836.473414634	192542.762975610	33090.536097561	4549.01341463415	3663.86951219512	67.7556097560976
OliveGIS	04mar10	20.51.34	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_71_88.txt	11.8462	44.8622	1	730	12	31	Avg	2220.95121951220	25.4414634146341	5256.61951219512	5839.91707317073	149.609756097561	41	517.524390243902	2764.12682926829	3230.79024390244	0	23772.7629268293	162062.533902439	208619.159121951	36807.8775609756	5018.37512195122	3912.72926829268	68.7224390243902
OliveGIS	04mar10	20.51.45	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_71_89.txt	11.8306	45.1414	1	730	12	31	Avg	2114.31463414634	29.6292682926829	4545.64146341463	5095.48536585366	152	41	558.421951219512	2897.66585365854	3963.47317073171	0	19973.6604878049	144916.418292683	175049.587585366	29063.7524390244	3973.50658536585	3229.94609756098	67.660243902439
OliveGIS	04mar10	20.51.55	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_71_90.txt	11.8149	45.4205	1	730	12	31	Avg	1938.81463414634	41.5951219512195	3343.85365853659	4071.18292682927	156.707317073171	41	634.224390243902	3104.02195121951	4509.86341463415	0	12417.0241463415	97170.8031707317	107522.384195122	14595.6458536585	2145.52146341463	1940.53146341463	62.2663414634146
OliveGIS	04mar10	20.52.04	D:/protheus_full_unzipped/ERA40_1958-2000_MedOlive\grid_71_91.txt	11.799	45.6997	1	730	12	31	Avg	1526.15609756098	74.9073170731707	11.5073170731707	22.0512195121951	172.5	4	829.924390243902	346.219512195122	579.146341463415	0	30.4541463414634	213.994634146341	236.303707317073	63.5653658536585	5.22268292682927	5.19317073170732	4.62048780487805
